"box";"file_no";"vid_row_id";"date_";"vid_action";"datetime_vid";"vid_dur";"vid_comment_txt";"vid_act_se"
"250";"034";"n1";250;2017-05-18;"IN";2017-05-18 10:57:12.555;7980;NA;0
"251";"034";"n1";251;2017-05-18;"OUT";2017-05-18 10:57:18.441;7980;NA;0
"252";"034";"n1";252;2017-05-18;"IN";2017-05-18 10:57:34.880;7980;NA;0
"253";"034";"n1";253;2017-05-18;"OUT";2017-05-18 10:57:42.078;7980;NA;0
"254";"034";"n1";254;2017-05-18;"IN";2017-05-18 10:58:12.321;7980;NA;0
"255";"034";"n1";255;2017-05-18;"OUT";2017-05-18 10:58:20.236;7980;NA;0
"256";"034";"n1";256;2017-05-18;"IN";2017-05-18 10:59:56.338;7980;NA;0
"257";"034";"n1";257;2017-05-18;"IN";2017-05-18 11:00:18.680;7980;NA;0
"258";"034";"n1";258;2017-05-18;"OUT";2017-05-18 11:00:21.553;7980;NA;0
"259";"034";"n1";259;2017-05-18;"OUT";2017-05-18 11:00:25.875;7980;NA;0
"260";"034";"n1";260;2017-05-18;"IN";2017-05-18 11:02:30.196;7980;NA;0
"261";"034";"n1";261;2017-05-18;"OUT";2017-05-18 11:02:36.559;7980;NA;0
"262";"034";"n1";262;2017-05-18;"IN";2017-05-18 11:03:32.111;7980;NA;0
"263";"034";"n1";263;2017-05-18;"BACK";2017-05-18 11:03:55.042;7980;NA;1
"264";"034";"n1";264;2017-05-18;"OUT";2017-05-18 11:03:57.798;7980;NA;0
"265";"034";"n1";265;2017-05-18;"IN";2017-05-18 11:04:37.757;7980;NA;0
"266";"034";"n1";266;2017-05-18;"OUT";2017-05-18 11:04:41.342;7980;NA;0
"267";"034";"n1";267;2017-05-18;"IN";2017-05-18 11:05:16.157;7980;NA;0
"268";"034";"n1";268;2017-05-18;"BACK";2017-05-18 11:06:32.480;7980;NA;1
"269";"034";"n1";269;2017-05-18;"OUT";2017-05-18 11:06:39.316;7980;NA;0
"270";"034";"n1";270;2017-05-18;"IN";2017-05-18 11:09:33.437;7980;NA;0
"271";"034";"n1";271;2017-05-18;"OUT";2017-05-18 11:09:43.625;7980;NA;0
"272";"034";"n1";272;2017-05-18;"IN";2017-05-18 11:10:45.668;7980;NA;0
"273";"034";"n1";273;2017-05-18;"BACK";2017-05-18 11:14:48.441;7980;NA;1
"274";"034";"n1";274;2017-05-18;"BACK";2017-05-18 11:14:57.197;7980;NA;2
"275";"034";"n1";275;2017-05-18;"BACK";2017-05-18 11:16:10.157;7980;NA;1
"276";"034";"n1";276;2017-05-18;"BACK";2017-05-18 11:16:27.076;7980;NA;2
"277";"034";"n1";277;2017-05-18;"BACK";2017-05-18 11:16:32.107;7980;NA;1
"278";"034";"n1";278;2017-05-18;"BACK";2017-05-18 11:17:09.673;7980;NA;2
"279";"034";"n1";279;2017-05-18;"BACK";2017-05-18 11:17:12.430;7980;NA;1
"280";"034";"n1";280;2017-05-18;"OUT";2017-05-18 11:17:13.984;7980;NA;0
"281";"034";"n1";281;2017-05-18;"IN";2017-05-18 11:19:21.430;7980;NA;0
"282";"034";"n1";282;2017-05-18;"OUT";2017-05-18 11:19:32.092;7980;NA;0
"283";"034";"n1";283;2017-05-18;"IN";2017-05-18 11:20:32.095;7980;NA;0
"284";"034";"n1";284;2017-05-18;"BACK";2017-05-18 11:20:48.437;7980;NA;1
"285";"034";"n1";285;2017-05-18;"OUT";2017-05-18 11:20:56.812;7980;NA;0
"286";"034";"n1";286;2017-05-18;"IN";2017-05-18 11:21:10.515;7980;NA;0
"287";"034";"n1";287;2017-05-18;"OUT";2017-05-18 11:21:17.341;7980;NA;0
"288";"034";"n1";288;2017-05-18;"IN";2017-05-18 11:21:34.493;7980;NA;0
"289";"034";"n1";289;2017-05-18;"OUT";2017-05-18 11:21:45.428;7980;NA;0
